"Fuel and Month Wise Data for Rajasthan (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,2024,1701,1508,1661,1766,1595,2212,1968,1664,3015,1912,1402,2242,1975,2015,2015,2057,2021,2558,2144,288,39743
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,26725,19029,20737,20244,20569,22041,20139,17610,16511,29286,30187,24407,29563,25203,27362,24892,25554,26553,25815,21143,3865,477435
DIESEL/HYBRID,16,7,10,12,14,11,34,37,36,87,41,35,41,50,50,55,50,57,45,43,7,738
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),3206,2585,2698,1769,1822,2206,2113,1685,1775,2264,1998,1479,1375,1280,1293,1199,1186,1463,1456,2325,169,37346
ETHANOL(E100),0,1,0,1,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,679,129,870
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,1,0,4,0,6,5,15,36,0,2,0,0,0,0,0,0,1,0,0,0,70
LPG ONLY,285,218,202,154,216,188,250,191,178,275,215,193,166,186,106,35,23,21,20,24,0,3146
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,289,171,160,201,185,181,141,109,84,95,139,238,403,296,148,206,245,183,190,122,20,3806
PETROL,80256,68945,76939,85084,72588,58532,58285,60303,53874,178870,138484,26322,50174,41879,55978,55834,49314,42460,43918,44587,10267,1352893
PETROL(E20),753,1041,1741,4454,9397,11788,15535,17842,19870,59332,63772,33410,49548,41398,50591,46357,42946,38155,43687,42586,8130,602333
PETROL(E20)/CNG,0,0,3,7,6,14,8,19,59,533,3300,3294,7027,5404,6951,6536,6967,7346,7413,6350,804,62041
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,16,138,583,661,993,547,699,682,516,492,471,622,96,6516
PETROL(E20)/HYBRID/CNG,2,0,0,0,1,0,1,0,0,0,5,8,10,4,7,4,9,3,2,0,0,56
PETROL(E20)/LPG,0,2,3,3,2,1,7,2,4,15,98,124,213,115,74,50,26,31,36,2,0,808
PETROL/CNG,6623,3910,4089,4880,4169,4275,5082,4639,4776,11412,2267,1451,2211,1302,664,518,505,483,529,393,74,64252
PETROL/HYBRID,1279,751,736,848,571,491,574,515,468,1176,247,139,229,143,175,153,141,144,137,105,22,9044
PETROL/HYBRID/CNG,10,4,5,3,1,2,2,6,1,4,1,2,1,1,1,0,1,2,0,0,0,47
PETROL/LPG,616,336,309,330,315,385,458,328,328,612,156,124,184,86,20,15,13,10,10,1,0,4636
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,5426,4016,7558,6001,6988,6876,7470,7586,7470,13455,9055,6952,8707,7973,13528,12012,14165,14368,15618,14729,2511,192464
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,258,246,219,266,282,257,263,251,159,355,245,221,314,240,284,245,230,209,217,188,37,4986
Total,127768,102964,116917,125922,118896,108855,112581,113106,107309,300924,252707,100462,153401,128082,159946,150808,143948,134002,142184,136043,26419,2863244
