"Fuel and Month Wise Data for Chandigarh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,20,12,17,12,16,8,24,17,12,7,6,6,12,10,7,10,12,10,14,10,1,243
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,492,367,676,577,492,614,515,433,547,491,560,510,561,526,662,655,420,749,512,496,74,10929
DIESEL/HYBRID,9,2,24,11,3,9,10,11,32,28,30,16,30,20,36,28,9,46,30,42,2,428
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),321,203,151,128,163,151,142,154,133,148,124,120,97,76,105,71,86,83,66,95,10,2627
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL,2783,2085,2489,2241,1776,1766,2014,1791,1719,3149,1471,718,871,642,728,590,615,620,753,569,90,29480
PETROL(E20),41,73,165,379,563,751,976,978,1151,1734,2078,2038,2375,2137,2500,2382,2235,2500,2388,2422,336,30202
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,5,35,40,61,56,90,71,70,102,91,89,18,728
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,1,9,111,140,135,87,92,107,83,126,92,122,19,1124
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,87,51,67,58,58,55,53,58,52,75,41,33,26,21,12,10,9,6,7,6,1,786
PETROL/HYBRID,192,147,168,142,112,116,128,96,160,145,93,60,67,46,59,56,57,71,36,45,6,2002
PETROL/HYBRID/CNG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
PURE EV,148,143,235,218,205,237,329,293,344,364,366,362,428,294,481,482,488,682,586,533,87,7305
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,138,83,226,121,96,183,144,118,160,94,157,109,163,137,173,127,98,189,139,147,20,2822
Total,4231,3166,4220,3887,3485,3891,4335,3949,4311,6249,5072,4152,4827,4053,4946,4589,4182,5184,4714,4576,664,88683
