"Fuel and Month Wise Data for All State (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,23602,20969,25355,23931,19519,19931,21563,24465,27090,31193,33488,27347,31417,31535,34594,30117,31400,35767,36558,38985,39804,42471,40222,32174,39758,37620,36509,33019,37223,35554,39613,41682,41313,58655,48692,34692,1207827
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,188604,181273,225744,199462,193806,204472,209028,201253,200804,215617,233635,213188,230959,218518,250981,207196,217283,240688,229297,219147,207396,226680,222648,213872,256131,239964,241617,217846,217644,207690,231324,207474,199051,264370,237668,231165,7903495
DIESEL/HYBRID,4,4,2,4,23,58,80,123,73,106,116,147,161,147,121,122,135,140,137,141,296,364,307,392,442,402,579,631,461,343,370,343,373,513,403,397,8460
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,22
ELECTRIC(BOV),53092,60393,85963,80638,72279,78327,83255,92000,98166,120657,125863,108823,106676,110937,144842,115630,165179,105456,120269,131070,132102,144046,158830,147687,150335,148844,220187,116054,128887,115569,137900,112146,103775,116106,104584,78629,4175196
ETHANOL(E100),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,108,182
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,2,0,0,0,0,2,15
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,10,10,0,13,23,11,22,13,4,54,8,40,49,7,0,38,41,42,45,39,16,29,48,40,0,11,613
LPG ONLY,1242,1022,1277,1011,769,999,865,1124,1381,1549,1797,1390,1637,1948,1698,1545,2001,2172,2281,2454,2543,3225,2931,2391,2556,2657,2734,2115,2453,2475,2965,3348,2987,3203,2699,2445,73889
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NOT APPLICABLE,7539,8896,10606,6803,6948,8002,7518,6096,7933,7214,8593,8210,6692,7321,7869,6917,6531,6913,6119,6331,5661,6626,5902,7409,7074,7637,6989,5718,5800,5306,5012,4897,5130,7826,7367,6732,250137
PETROL,1376552,1294568,1480229,1515074,1562918,1420298,1316300,1364685,1257148,1927627,2044113,1309222,1480969,1439980,1618169,1374844,1599340,1467235,1363481,1403368,1460230,1655403,2399676,1583097,1629017,1565141,1585072,1775939,1639436,1465804,1529294,1424079,1267086,2175831,2693084,1302158,56766467
PETROL(E20),0,0,0,0,0,0,0,1,2,1,1,0,1,715,12741,18137,25676,31859,36253,44689,46477,53505,62554,47241,57164,52619,52078,55675,54358,50013,54574,52024,50099,68301,68423,41675,1036856
PETROL(E20)/CNG,4,1,6,7,8,5,4,5,6,4,3,3,9,10,4,2,6,3,9,10,5,4,4,8,9,15,8,10,6,9,5,9,5,13,7,7,233
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL(E20)/HYBRID/CNG,4,3,4,2,8,7,5,1,3,9,4,3,6,10,8,4,7,4,3,4,7,6,6,2,3,4,5,7,5,4,7,2,6,5,2,3,173
PETROL(E20)/LPG,0,0,1,2,0,2,5,2,1,0,1,1,3,0,5,1,2,0,0,2,2,0,3,3,4,1,1,2,3,4,6,1,2,3,1,1,65
PETROL/CNG,34327,37086,42192,39915,38276,38951,37990,38355,34801,48684,42495,36497,49267,33447,38298,36758,42168,46627,48553,55576,59427,64502,64166,47940,72566,55897,56138,62468,60861,56346,64998,63503,56279,108158,65495,56146,1835153
PETROL/HYBRID,11493,9886,8592,7536,16017,12914,12368,18701,19383,27451,25759,24387,30054,31259,37676,27692,25990,26289,23041,25497,26615,27196,26012,21777,31031,30270,26976,26549,22938,20448,22246,21061,19418,31832,20632,19484,816470
PETROL/HYBRID/CNG,38,41,28,22,78,57,71,88,84,101,98,80,116,120,127,97,65,49,66,80,58,67,42,41,115,69,74,65,58,53,70,60,51,87,50,44,2510
PETROL/LPG,1676,1258,1596,1410,1381,1423,1300,1407,1307,1578,1227,1099,1228,1115,1639,1288,1207,1257,1354,1570,1323,1362,1226,1074,1507,1552,1303,1337,1317,1412,1740,1577,1746,2400,1995,1177,51368
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,11,14,6,7,42
PURE EV,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,1,2,8,0,0,3227,2516,16710,30675,51494,50132,63008,109094,96587,69813,493275
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STRONG HYBRID EV,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,1,1701,3080,3505,4224,7073,7802,6862,9942,7083,7214,58496
Total,1698180,1615400,1881596,1875818,1912030,1785447,1690354,1748308,1648185,2381792,2517204,1730407,1939195,1877076,2148796,1820361,2117013,1964476,1867426,1928980,1981955,2225500,2984581,2105124,2247712,2142731,2235241,2303079,2191735,1995969,2148711,1990170,1817250,2956405,3354838,1851910,74680955
