"Fuel and Month Wise Data for Gujarat (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,8784,7254,6789,6263,6432,7057,7742,7224,8357,12000,8874,6922,9972,8550,8276,7057,7859,8476,9207,8464,1486,163045
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,26194,15407,15037,15459,14099,13299,22213,35215,24143,26315,24125,25826,32668,21630,18431,16759,15104,23491,39643,30913,4093,460064
DIESEL/HYBRID,67,71,73,70,86,75,87,94,91,168,155,105,106,106,149,108,87,125,108,120,23,2074
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1503,957,1028,668,724,792,610,622,662,728,554,389,406,535,556,305,286,425,415,306,55,12526
ETHANOL(E100),1,2,2,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,23
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,30,87
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,18,1,0,11,0,19,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,60
LPG ONLY,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,193,211,200,209,158,113,146,186,177,230,309,342,517,589,204,292,192,373,587,280,57,5565
PETROL,103019,86442,95266,91156,81597,83083,81298,93026,89915,203885,100139,37147,47585,39812,46653,37622,37765,38442,40585,37761,8718,1480916
PETROL(E20),1724,1854,3369,9207,14625,18841,21491,25841,29000,60053,77025,73488,91835,80816,89596,77626,71648,77117,92086,89448,20062,1026752
PETROL(E20)/CNG,1,2,1,6,9,16,33,52,131,987,7153,11075,11911,10866,12693,11824,12245,12686,12614,12642,1583,118530
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,7,226,854,1109,1004,752,888,794,633,610,688,1115,171,8851
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,2,2,6,3,0,2,1,1,1,0,0,18
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,17618,9733,9886,10729,9489,10220,11498,12319,12989,19412,6169,6260,5042,3030,2344,2138,2104,2151,2254,1768,321,157474
PETROL/HYBRID,1539,1001,874,1037,894,734,900,993,812,1295,486,350,473,315,314,279,224,313,318,250,61,13462
PETROL/HYBRID/CNG,15,3,3,4,2,4,5,3,3,2,6,2,7,4,5,3,1,2,1,0,0,75
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
PURE EV,3590,3081,5273,4674,5255,6276,5606,5711,7131,7722,6524,5698,7060,6252,11126,9427,9690,11786,13028,10861,2331,148102
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,685,602,602,667,704,556,717,628,528,781,866,804,843,786,818,734,572,801,735,614,137,14180
Total,164953,126621,138403,140166,134078,141089,152354,181915,173946,333816,233241,169519,209436,174047,192053,164970,158411,176799,212273,194596,39128,3611814
