"Fuel and Month Wise Data for Uttarakhand (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1,1,0,1,0,1,2,2,1,1,0,0,2,1,7,23,0,3,14,10,21,20,26,24,20,66,137,34,16,41,122,129,116,155,115,132,1244
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,2465,2285,2286,2129,2842,1972,2055,1875,1646,2082,2262,2047,2449,2331,2181,1122,13,564,1033,910,1277,1246,1544,1548,1842,1680,1828,1004,359,1348,1704,1587,1369,1237,1236,1718,59076
DIESEL/HYBRID,62,48,39,37,38,30,18,10,9,16,17,16,9,2,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,359
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),530,479,435,386,523,395,533,514,493,452,539,538,443,466,183,11,5,127,154,155,200,187,214,247,338,346,437,229,40,237,346,527,644,641,674,861,13529
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
