"Fuel and Month Wise Data for Telangana (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,135,109,55,36,23,38,77,2180,4061,2069,482,181,169,144,98,68,88,106,179,96,4,10398
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,10539,9573,10062,8975,9372,10453,9674,8265,8381,11781,12063,10036,11548,11835,12728,9138,10396,11851,12304,8089,563,207626
DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,53,57,48,4,225
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),5900,5120,8416,5549,5484,6256,6948,6485,7119,8083,9481,8931,8215,7483,8846,4348,3367,2818,3140,2544,144,124677
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,157,4821,3246,667,176,60,29,26,9,7,7,2,5,12,0,9224
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1093,1300,1600,1097,1174,1054,1110,982,1502,1722,2103,1685,1596,2128,2515,1544,1211,1221,1186,683,0,28506
PETROL,67642,54599,55687,60254,60098,57773,58674,54151,49807,75350,91197,69765,69276,60648,65054,29286,21200,18462,20175,15632,2417,1057147
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30078,47394,42359,50475,44166,9077,223549
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,999,742,706,636,121,3389
PETROL(E20)/HYBRID,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,225,1224,838,727,782,156,3959
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,2847,2292,2472,2448,2682,2883,2928,2762,2197,3173,3304,2212,3576,2810,2530,2289,2473,3166,3067,2525,3,54639
PETROL/HYBRID,3,1,0,3,0,0,2,2,3,1,2,3,6,37,0,33,174,134,159,82,12,657
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,546,818,880,761,948,692,453,152,94,173,241,231,463,656,528,187,208,298,188,196,0,8713
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5174,11001,10477,10942,10256,2176,50026
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,484,467,419,337,49,1823
Total,88705,73813,79173,79123,79781,79149,80023,79800,76410,103020,119053,93104,94878,85767,92308,82639,100279,92994,103729,86087,14727,1784562
