"Fuel and Month Wise Data for Assam (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,71,85,78,63,75,46,50,68,39,45,35,30,24,28,22,20,38,27,30,40,18,932
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,2666,2425,3285,2480,2578,2443,2585,2320,2117,2954,3192,3187,3076,2953,2989,2593,2750,3086,2989,2584,489,55741
DIESEL/HYBRID,1,2,2,3,2,2,8,10,9,13,5,10,4,10,6,2,8,9,6,4,2,118
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),4238,3735,4504,3729,4295,4290,4928,4471,4240,4133,3776,3115,3010,3490,3315,3680,4056,3780,3335,3418,593,78131
ETHANOL(E100),1,1,0,1,0,4,3,2,1,5,1,1,0,0,0,0,0,0,0,0,0,20
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,26
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,34,57,50,28,8,16,12,8,7,14,11,31,29,27,16,7,11,14,11,13,1,405
PETROL,49025,37085,41824,32968,22735,19585,17633,17037,21070,26880,10803,8160,11773,9345,9134,8683,7719,7025,6240,6443,986,372153
PETROL(E20),2604,2137,2865,5225,9823,13097,14028,14695,19779,27067,24081,28777,31383,29060,37331,37182,33225,30488,27288,28917,4975,424027
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,2,25,28,25,27,29,19,36,42,50,49,7,339
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,1,4,75,572,743,609,592,715,611,680,605,586,738,97,6628
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,16,17,33,30,31,19,30,31,34,38,14,18,9,13,7,3,6,0,5,5,0,359
PETROL/HYBRID,632,419,556,539,504,479,579,530,651,708,176,104,91,64,116,97,122,91,100,84,7,6649
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,886,920,1510,2073,3258,3208,3609,4047,4017,3987,4069,4104,4105,4696,5172,5528,6677,6305,6589,6859,1048,82667
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,32,24,35,41,33,36,59,36,23,54,51,58,38,47,72,53,44,46,58,54,8,902
Total,60206,46907,54742,47180,43342,43225,43524,43256,51991,65975,46811,48366,54176,50352,58924,58478,55372,51518,47287,49230,8235,1029097
