"Fuel and Month Wise Data for Chhattisgarh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,21,9,45
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,4965,4856,5469,5625,4644,6044,6009,4791,4803,6295,6744,5808,6124,5989,6433,6600,5514,6572,6511,5165,5509,6456,7030,6572,7173,7196,6738,6823,7005,7542,8394,6951,6416,9420,7740,7059,228985
DIESEL/HYBRID,0,0,0,0,0,0,2,0,2,3,1,2,1,3,2,8,2,1,2,2,4,5,7,8,7,9,5,19,9,4,5,7,6,17,13,6,162
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),883,877,1304,1776,1196,1508,1830,1860,1766,3211,3526,2625,2643,2630,3139,2418,3575,2348,2790,3337,3349,3479,5477,3060,3680,3497,5121,2845,2817,2629,3104,2698,1484,2473,1779,1032,93766
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,8
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,7,3,5,3,3,3,3,5,5,14,17,11,14,10,13,12,12,15,6,12,18,17,19,14,15,12,9,8,12,15,8,13,13,5,11,1,363
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,639,655,703,398,394,399,322,209,315,383,627,791,537,654,579,437,462,456,339,324,342,427,490,844,878,780,975,701,782,725,626,647,434,961,864,1118,21217
PETROL,34982,30727,33437,33050,31106,29836,28234,24471,25015,60643,42355,27124,36373,31732,34551,29549,29202,31791,29715,29517,31735,40485,77080,32479,44296,40820,45436,46802,43872,41120,40667,34135,29292,67274,86015,30337,1385255
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,113,105,220,253,298,342,440,855,370,520,521,481,466,482,407,444,393,340,846,855,343,9170
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,2,0,2,0,2,0,0,17
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/CNG,5,1,1,0,0,1,3,1,1,2,1,1,1,0,1,2,0,3,2,2,2,1,5,1,1,5,3,2,4,3,6,3,7,34,12,23,140
PETROL/HYBRID,353,345,243,252,551,357,430,531,449,918,613,583,739,755,772,827,590,691,546,669,712,767,836,495,933,788,753,761,817,707,826,675,602,1983,601,568,24038
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,3,1,1,2,0,0,2,1,1,1,0,0,1,0,2,1,2,0,1,0,2,0,1,0,1,0,1,1,2,0,2,0,0,0,1,0,30
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
