"Fuel and Month Wise Data for Himachal Pradesh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,9,15,10,19,29,50,37,17,11,16,15,18,13,8,6,5,3,6,7,10,2,306
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,1899,1740,1853,1854,2134,2060,1993,1786,1418,1647,2111,1803,2088,1958,2103,2123,2010,1800,2226,1859,367,38832
DIESEL/HYBRID,11,7,6,5,2,5,7,9,12,8,17,10,25,14,26,15,12,19,19,20,2,251
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),110,95,71,44,23,34,24,33,38,24,44,31,16,10,15,16,16,12,20,11,2,689
ETHANOL(E100),1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL,11418,8259,8201,8656,7803,6981,5898,5709,3578,6993,13151,5508,3233,2209,2270,2164,1895,2006,2799,2171,370,111272
PETROL(E20),175,242,421,938,1924,2567,3016,3424,2443,4562,11458,9336,9222,8241,8178,8995,8591,7701,10447,8247,1464,111592
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,10,34,44,40,54,60,87,67,83,82,12,573
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,18,164,247,389,358,355,354,329,302,360,325,55,3256
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,43,49,55,36,49,57,36,40,25,43,56,23,25,22,10,7,2,5,4,8,1,596
PETROL/HYBRID,441,372,298,412,362,354,342,267,152,332,407,145,141,123,91,111,115,106,142,99,17,4829
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
PLUG-IN HYBRID EV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PURE EV,78,92,110,86,121,149,117,111,77,149,126,146,138,131,162,171,200,192,276,469,54,3155
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,65,49,39,41,58,60,48,63,43,56,42,61,87,59,71,95,88,71,69,56,7,1228
Total,14251,10921,11067,12091,12505,12317,11518,11459,7797,13850,27601,17362,15421,13173,13341,14116,13348,12287,16452,13357,2353,276587
