"Fuel and Month Wise Data for Chhattisgarh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,38,32,20,13,19,34,37,25,25,41,31,25,49,37,16,24,12,20,30,31,2,561
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,10126,8319,7206,6472,6511,7318,8556,6740,6347,9026,8874,7611,10476,9405,7209,7004,6206,7632,8511,6748,1073,157370
DIESEL/HYBRID,10,43,3,9,4,11,10,11,16,26,9,7,18,30,8,11,12,4,11,10,0,263
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1361,969,1095,923,917,891,890,757,798,996,698,545,583,488,530,435,558,532,467,428,61,14922
ETHANOL(E100),4,2,1,2,1,6,3,1,3,1,0,1,2,0,0,0,2,0,1,0,0,30
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
FUEL CELL HYDROGEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1304,738,976,1220,774,825,727,711,797,628,1010,951,1376,1018,1071,844,694,687,769,493,80,17693
PETROL,50206,43360,45555,40056,32889,31373,26945,25805,24889,76943,28527,10579,17375,16092,17252,12731,11908,13049,11584,10101,1471,548690
PETROL(E20),735,900,982,3612,6531,8360,8778,9586,11853,38068,25847,21691,39070,32354,31591,26253,25115,27063,26157,24572,4165,373283
PETROL(E20)/CNG,2,1,0,0,0,0,0,1,3,6,41,30,96,77,71,59,105,120,156,151,24,943
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,160,490,564,1891,1409,745,715,795,673,712,753,105,9012
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,5
PETROL/CNG,58,68,35,31,47,41,51,55,46,85,25,20,48,23,7,5,3,3,4,0,0,655
PETROL/HYBRID,1735,1353,590,833,654,581,672,697,817,1545,221,65,191,139,79,79,89,70,66,41,4,10521
PETROL/HYBRID/CNG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
PETROL/LPG,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,2670,2005,3237,2494,2746,3137,3103,2792,3153,5282,3376,2901,3812,3631,5422,3647,5168,5644,6228,5525,549,76522
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,171,171,85,124,93,83,92,73,94,144,80,79,216,209,96,115,105,89,96,43,9,2267
Total,68430,57964,59787,55789,51186,52661,49865,47256,48842,132952,69229,45070,75203,64913,64097,51922,50773,55586,54792,48906,7547,1212770
