"Fuel and Month Wise Data for Tamil Nadu (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,15,11,25,24,30,27,31,17,28,3,1,0,19,9,5,0,0,0,0,0,1,2,3,0,0,6,18,18,2,2,36,116,208,257,317,480,1711
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,20580,18504,20851,18829,17733,15835,18359,14575,14296,13854,14534,13370,18648,17786,22509,31,863,5658,7120,8385,12538,10827,10087,9820,10596,13740,16679,12187,2300,4406,13092,11745,11851,9442,9175,9197,450002
DIESEL/HYBRID,860,515,624,464,373,246,206,176,149,158,132,130,204,131,69,0,0,0,0,0,11,1,1,4,1,0,0,2,1,1,0,1,0,0,1,1,4462
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),178,252,483,244,145,148,184,247,347,360,553,319,444,532,686,0,98,286,343,534,673,485,711,905,1083,2896,3921,2009,314,1004,3080,3163,3219,2749,3025,3584,39204
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,6,46,86,261,216,188,218,265,149,52,249,58,55,168,178,156,130,117,112,2717
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,10,10,5,13,12,7,11,4,4,6,11,12,0,2,7,7,52,21,6,40,18,0,2,0,0,0,0,0,0,0,0,0,0,260
PETROL,165000,169526,167434,140460,139985,132983,157993,143646,127843,125075,154183,103711,151645,157189,150750,7,31708,103740,102440,118647,154866,124005,135177,111042,140942,164352,154599,120810,20222,50459,135288,121976,120128,94825,120136,93522,4406314
PETROL(E20),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PETROL(E20)/CNG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL(E20)/LPG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
PETROL/CNG,73,60,71,64,65,72,99,57,56,70,82,89,106,72,93,0,7,45,43,66,99,98,107,94,140,133,148,143,34,41,139,278,275,252,344,361,3976
PETROL/HYBRID,585,385,596,577,552,501,550,482,504,576,551,479,687,417,920,0,147,896,673,880,1226,1084,1093,1340,1599,1425,1564,1156,245,501,1611,1738,1096,1123,1416,1133,30308
PETROL/HYBRID/CNG,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1,0,2,0,1,2,0,0,3,0,2,1,1,1,23
PETROL/LPG,2413,2676,2741,2232,2219,1804,2430,2186,2271,2134,2309,1466,2182,2750,3053,0,16,88,89,106,698,306,242,256,359,645,866,326,48,47,211,212,215,171,139,157,40063
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,189707,191932,192827,162904,161112,151624,179867,161398,145501,142242,172350,119569,173942,178897,178097,38,32842,110728,110762,128756,170396,137034,147652,123697,154988,183349,177848,136902,23224,56516,153628,139408,137150,108950,134671,108549,4979057
