"Fuel and Month Wise Data for Haryana (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,4087,2853,2483,3178,2890,2722,2747,2812,2593,3255,3460,2463,3516,2766,2825,3155,2691,2836,3374,3110,482,60298
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,14968,12401,12924,13865,13081,13113,12480,12491,10332,15021,14886,13667,17571,16640,16053,17316,14764,14210,15512,13053,2428,286776
DIESEL/HYBRID,12,17,21,24,20,20,39,51,57,63,75,64,79,107,67,87,91,67,89,78,11,1139
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1719,1240,1073,1171,1174,1208,1164,1113,1014,1031,978,1056,911,784,727,802,720,723,900,647,108,20263
ETHANOL(E100),3,1,1,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,168,36,227
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,15,0,0,10,0,1,1,0,0,0,0,0,7,0,34
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,34,21,23,11,77,39,18,9,30,9,23,11,22,26,26,29,18,42,50,33,2,553
PETROL,61769,45023,48986,46267,41380,36755,33659,31997,29645,69438,58882,16750,26454,20257,22777,20940,23135,22712,26380,23010,5179,711395
PETROL(E20),617,1143,1839,4797,10069,14556,16028,16864,16819,40813,39901,28353,39155,31214,34049,34020,33467,30750,36535,35112,6224,472325
PETROL(E20)/CNG,2,4,3,16,18,34,39,36,99,870,5007,7806,7892,9299,10539,10155,10280,10743,10963,10796,1521,96122
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,4,244,664,1304,1275,738,769,733,750,710,780,1066,130,9167
PETROL(E20)/HYBRID/CNG,0,2,1,0,0,2,1,0,1,1,3,3,4,9,4,6,3,2,0,0,0,42
PETROL(E20)/LPG,1,0,1,0,0,2,0,0,0,2,1,3,1,2,0,0,0,0,0,0,0,13
PETROL/CNG,11627,7078,7820,8236,7363,8250,9005,8191,7750,13017,4141,3604,3301,2452,1598,1389,1249,1259,1237,1116,230,109913
PETROL/HYBRID,2193,1139,1351,1384,1114,1236,1229,1085,762,1358,605,503,703,538,442,500,563,443,421,296,49,17914
PETROL/HYBRID/CNG,20,2,12,6,5,8,19,12,9,34,7,0,6,13,6,2,1,0,0,0,0,162
PETROL/LPG,14,5,8,3,5,5,3,4,7,6,2,4,0,4,1,0,0,1,0,0,0,72
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,1,1,1,2,1,4,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,16
PURE EV,1731,1212,1466,2346,2197,2254,2274,1934,1921,2455,1834,1827,1798,1620,2332,2256,2744,2775,2990,3210,704,43880
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,930,670,757,917,795,802,836,746,592,753,722,836,969,936,823,909,830,722,920,742,138,16345
Total,99728,72812,78770,82224,80190,81012,79543,77362,71635,148371,131201,78255,103660,87406,93038,92299,91306,87995,100174,92445,17242,1846668
